Sample,isolate_1,isolate_2,isolate_3
CIMS-MN-049-SH-K-N-MN-M05688-240322_S1,CIMS-MN-049-SH-K-E,CIMS-MN-049-IW-K-E,
CIMS-MN-049-SH-M-N-MN-M05688-240322_S25,CIMS-MN-049-SH-M-E,CIMS-MN-049-IW-M-E,
CIMS-MN-050-SH-K-N-MN-M05688-240322_S2,CIMS-MN-050-IW-K-E,CIMS-MN-050-SH-K-E,
CIMS-MN-050-SH-M-N-MN-M05688-240322_S26,CIMS-MN-050-SH-M-E,CIMS-MN-050-IW-M-E,
CIMS-MN-051-SH-K-N-MN-M05688-240322_S3,CIMS-MN-051-IW-K-E,CIMS-MN-051-SH-K-E,
CIMS-MN-051-SH-M-N-MN-M05688-240322_S27,CIMS-MN-051-IW-M-E,CIMS-MN-051-SH-M-E,
CIMS-MN-052-SH-K-N-MN-M05688-240322_S4,,,
CIMS-MN-052-SH-M-N-MN-M05688-240322_S28,,,
CIMS-MN-053-SH-K-N-MN-M05688-240322_S5,CIMS-MN-053-IW-K-E,CIMS-MN-053-SH-K-E,
CIMS-MN-053-SH-M-N-MN-M05688-240322_S29,CIMS-MN-053-SH-M-E,CIMS-MN-053-IW-M-E,
CIMS-MN-054-SH-K-N-MN-M05688-240322_S6,CIMS-MN-054-IW-K-E,CIMS-MN-054-SH-K-E,
CIMS-MN-054-SH-M-N-MN-M05688-240322_S30,CIMS-MN-054-SH-M-E,CIMS-MN-054-IW-M-E,
CIMS-MN-055-SH-K-N-MN-M05688-240322_S7,CIMS-MN-055-IW-K-E,CIMS-MN-055-SH-K-E,
CIMS-MN-055-SH-M-N-MN-M05688-240322_S31,CIMS-MN-055-SH-M-E,CIMS-MN-055-IW-M-E,
CIMS-MN-056-SH-K-N-MN-M05688-240322_S8,CIMS-MN-056-IW-K-E,CIMS-MN-056-SH-K-E,
CIMS-MN-056-SH-M-N-MN-M05688-240322_S32,CIMS-MN-056-SH-M-E,CIMS-MN-056-IW-M-E,
CIMS-MN-057-SH-K-N-MN-M05688-240322_S9,CIMS-MN-057-IW-K-E,CIMS-MN-057-SH-K-E,
CIMS-MN-057-SH-M-N-MN-M05688-240322_S33,CIMS-MN-057-SH-M-E,CIMS-MN-057-IW-M-E,
CIMS-MN-058-SH-K-N-MN-M05688-240322_S10,CIMS-MN-058-IW-K-E,CIMS-MN-058-SH-K-E,
CIMS-MN-058-SH-M-N-MN-M05688-240322_S34,CIMS-MN-058-SH-M-E,CIMS-MN-058-IW-M-E,
CIMS-MN-059-SH-K-N-MN-M05688-240322_S11,CIMS-MN-059-IW-K-E,CIMS-MN-059-SH-K-E,
CIMS-MN-059-SH-M-N-MN-M05688-240322_S35,CIMS-MN-059-SH-M-E,CIMS-MN-059-IW-M-E,
CIMS-MN-060-SH-K-N-MN-M05688-240322_S12,CIMS-MN-060-IW-K-E,CIMS-MN-060-SH-K-E,
CIMS-MN-060-SH-M-N-MN-M05688-240322_S36,CIMS-MN-060-SH-M-E,CIMS-MN-060-IW-M-E,
CIMS-MN-061-SH-K-N-MN-M05688-240322_S13,CIMS-MN-061-IW-K-E,CIMS-MN-061-SH-K-E,
CIMS-MN-061-SH-M-N-MN-M05688-240322_S37,CIMS-MN-061-SH-M-E,CIMS-MN-061-IW-M-E,
CIMS-MN-062-SH-K-N-MN-M05688-240322_S14,CIMS-MN-062-IW-K-E,CIMS-MN-062-SH-K-E,
CIMS-MN-062-SH-M-N-MN-M05688-240322_S38,CIMS-MN-062-SH-M-E,CIMS-MN-062-IW-M-E,
CIMS-MN-063-SH-K-N-MN-M05688-240322_S15,CIMS-MN-063-IW-K-E,CIMS-MN-063-SH-K-E,
CIMS-MN-063-SH-M-N-MN-M05688-240322_S39,CIMS-MN-063-SH-M-E,CIMS-MN-063-IW-M-E,
CIMS-MN-064-SH-K-N-MN-M05688-240322_S16,CIMS-MN-064-IW-K-E,CIMS-MN-064-SH-K-E,
CIMS-MN-064-SH-M-N-MN-M05688-240322_S40,CIMS-MN-064-SH-M-E,CIMS-MN-064-IW-M-E,
CIMS-MN-065-SH-K-N-MN-M05688-240322_S17,CIMS-MN-065-IW-K-E,CIMS-MN-065-SH-K-E,
CIMS-MN-065-SH-M-N-MN-M05688-240322_S41,CIMS-MN-065-SH-M-E,CIMS-MN-065-IW-M-E,
CIMS-MN-066-SH-K-N-MN-M05688-240322_S18,CIMS-MN-066-IW-K-E,CIMS-MN-066-SH-K-E,
CIMS-MN-066-SH-M-N-MN-M05688-240322_S42,CIMS-MN-066-SH-M-E,CIMS-MN-066-IW-M-E,
CIMS-MN-067-SH-K-N-MN-M05688-240322_S19,CIMS-MN-067-IW-K-E,CIMS-MN-067-SH-K-E,
CIMS-MN-067-SH-M-N-MN-M05688-240322_S43,CIMS-MN-067-SH-M-E,CIMS-MN-067-IW-M-E,
CIMS-MN-068-SH-K-N-MN-M05688-240322_S20,CIMS-MN-068-IW-K-E,CIMS-MN-068-SH-K-E,
CIMS-MN-068-SH-M-N-MN-M05688-240322_S44,CIMS-MN-068-SH-M-E,CIMS-MN-068-IW-M-E,
CIMS-MN-069-SH-K-N-MN-M05688-240322_S21,CIMS-MN-069-IW-K-E,CIMS-MN-069-SH-K-E,
CIMS-MN-069-SH-M-N-MN-M05688-240322_S45,CIMS-MN-069-SH-M-E,CIMS-MN-069-IW-M-E,
CIMS-MN-070-SH-K-N-MN-M05688-240322_S22,CIMS-MN-070-IW-K-E,CIMS-MN-070-SH-K-E,
