,CIMS-MN-053-SH-M-N-MN-M05688-240322_S29,CIMS-MN-060-SH-K-N-MN-M05688-240322_S12,CIMS-MN-067-SH-K-N-MN-M05688-240322_S19,CIMS-MN-064-SH-M-N-MN-M05688-240322_S40,CIMS-MN-067-SH-M-N-MN-M05688-240322_S43,CIMS-MN-069-SH-K-N-MN-M05688-240322_S21,CIMS-MN-069-SH-M-N-MN-M05688-240322_S45,CIMS-MN-051-SH-M-N-MN-M05688-240322_S27,CIMS-MN-051-SH-K-N-MN-M05688-240322_S3,CIMS-MN-063-SH-M-N-MN-M05688-240322_S39,CIMS-MN-055-SH-M-N-MN-M05688-240322_S31,CIMS-MN-063-SH-K-N-MN-M05688-240322_S15,CIMS-MN-055-SH-K-N-MN-M05688-240322_S7,CIMS-MN-078-IH-MN-M05688-240322_S48
OG0000294primerGroup8,95,60,50,846,113,186,182,192,184,458,494,608,887,723
OG0000296primerGroup7,30,27,28,58,83,85,122,120,102,343,460,454,523,882
OG0000297primerGroup3,12,5,10,15,13,28,39,46,35,113,186,165,150,463
OG0000298primerGroup4,29,41,26,81,56,80,99,122,132,360,471,557,544,815
OG0000300primerGroup2,19,16,18,33,43,53,87,89,70,216,309,306,364,544
OG0000301primerGroup3,10,20,14,25,31,54,41,60,62,167,150,249,239,202
OG0000302primerGroup0,30,40,35,89,81,101,157,170,166,431,497,620,707,1033
OG0000303primerGroup4,24,22,27,56,50,37,68,136,107,316,386,463,543,555
OG0000304primerGroup3,32,27,41,67,86,78,141,152,121,383,487,586,583,875
OG0000309primerGroup7,34,66,42,123,111,136,190,222,246,615,645,818,1020,1061
OG0000310primerGroup4,31,29,17,72,57,57,112,139,95,283,371,392,533,582
OG0000311primerGroup6,44,62,41,160,87,181,133,183,182,555,509,822,1019,725
OG0000318primerGroup3,71,78,62,119,108,204,204,272,227,601,689,943,1139,989
OG0000319primerGroup2,35,26,30,65,87,79,116,151,112,428,416,492,581,580
OG0000320primerGroup6,29,39,32,75,90,120,196,194,162,521,576,760,876,1139
OG0000321primerGroup6,86,100,85,195,172,309,315,370,343,891,904,1375,1695,1531
OG0000322primerGroup1,58,57,99,177,141,235,321,349,294,805,800,1247,1324,1159
OG0000323primerGroup2,26,21,12,56,68,71,105,137,115,360,404,503,561,725
OG0000324primerGroup6,83,105,95,160,207,313,331,420,357,949,1032,1403,1531,1450
OG0000325primerGroup9,59,82,57,134,143,211,176,282,244,640,746,988,1215,1330
OG0000326primerGroup0,39,53,42,126,110,157,252,273,184,661,668,845,931,1155
OG0000327primerGroup4,12,19,14,38,36,72,60,69,72,205,209,257,333,313
OG0000328primerGroup9,37,44,37,87,75,133,123,173,125,484,480,604,775,635
OG0000329primerGroup6,61,52,67,125,121,203,304,303,294,847,973,1178,1349,1519
OG0000330primerGroup2,20,28,28,61,61,89,162,139,130,412,469,678,608,968
