Isolate (IH):,Stool (SH):,Isolate WGS (IW):
CIMS-OH-365-IH,CIMS-OH-343-SH,
CIMS-OH-366-IH,CIMS-OH-344-SH,
CIMS-NC-102-IH-NC-M70818-250124_S27,CIMS-NC-102-SH-NC-M70818-250124_S3,
CIMS-CO-070IH2-juno-04_S2,CIMS-CO-070SHSelEz-juno-04_S10,
CIMS-CO-070IH2-juno-04_S2,CIMS-CO-070SHSelMP-juno-04_S19,
CIMS-CO-071IH2-juno-04_S3,CIMS-CO-071IHSelEz-juno-04_S11,
CIMS-CO-071IH2-juno-04_S3,CIMS-CO-071IHSelMP-juno-04_S20,
CIMS-CO-072IH2-juno-04_S4,CIMS-CO-072IHSelEz-juno-04_S12,
CIMS-CO-072IH2-juno-04_S4,CIMS-CO-072IHSelMP-juno-04_S21,
CIMS-CO-073IH2-juno-04_S5,CIMS-CO-073IHSelEz-juno-04_S13,
CIMS-CO-073IH2-juno-04_S5,CIMS-CO-073IHSelMP-juno-04_S22,
CIMS-CO-074IH2-juno-04_S6,CIMS-CO-074IHSelEz-juno-04_S14,
CIMS-CO-074IH2-juno-04_S6,CIMS-CO-074IHSelMP-juno-04_S23,
CIMS-CO-075IH2-juno-04_S7,CIMS-CO-075IHSelEz-juno-04_S15,
CIMS-CO-075IH2-juno-04_S7,CIMS-CO-075IHSelMP-juno-04_S24,
CIMS-CO-076IH2-juno-04_S8,CIMS-CO-076IHSelEz-juno-04_S16,
CIMS-CO-076IH2-juno-04_S8,CIMS-CO-076IHSelMP-juno-04_S25,
CIMS-CO-077IH2-juno-04_S9,CIMS-CO-077IHSelEz-juno-04_S17,
CIMS-CO-077IH2-juno-04_S9,CIMS-CO-077IHSelMP-juno-04_S26,
CIMS-MN-170-IH-MN-M05688-250502_S25,CIMS-MN-170-SH-M-E-MN-M05144-241209_S25,
CIMS-MN-171-IH-MN-M05688-250502_S26,CIMS-MN-171-SH-M-E-MN-M05144-241209_S26,
CIMS-MN-172-IH-MN-M05688-250502_S27,CIMS-MN-172-SH-M-E-MN-M05144-241209_S27,
CIMS-MN-173-IH-MN-M05688-250502_S28,CIMS-MN-173-SH-M-E-MN-M05144-241209_S28,
CIMS-MN-174-IH-MN-M05688-250502_S29,CIMS-MN-174-SH-M-E-MN-M05144-241209_S29,
CIMS-MN-175-IH-MN-M05688-250502_S30,CIMS-MN-175-SH-M-E-MN-M05144-241209_S30,
CIMS-MN-176-IH-MN-M05688-250502_S31,CIMS-MN-176-SH-M-E-MN-M05144-241209_S31,
CIMS-MN-177-IH-MN-M05688-250502_S32,CIMS-MN-177-SH-M-E-MN-M05144-241209_S32,
CIMS-MN-178-IH-MN-M05688-250502_S33,CIMS-MN-178-SH-M-E-MN-M05144-241209_S33,
CIMS-MN-179-IH-MN-M05688-250502_S34,CIMS-MN-179-SH-M-E-MN-M05144-241209_S34,
CIMS-MN-180-IH-MN-M05688-250502_S35,CIMS-MN-180-SH-M-E-MN-M05144-241209_S35,
CIMS-MN-181-IH-MN-M05688-250502_S36,CIMS-MN-181-SH-M-E-MN-M05144-241209_S36,
CIMS-MN-182-IH-MN-M05688-250502_S37,CIMS-MN-182-SH-M-E-MN-M05144-241209_S37,
CIMS-MN-183-IH-MN-M05688-250502_S38,CIMS-MN-183-SH-M-E-MN-M05144-241209_S38,
CIMS-MN-184-IH-MN-M05688-250502_S39,CIMS-MN-184-SH-M-E-MN-M05144-241209_S39,
CIMS-MN-185-IH-MN-M05688-250502_S40,CIMS-MN-185-SH-M-E-MN-M05144-241209_S40,
CIMS-MN-186-IH-MN-M05688-250502_S41,CIMS-MN-186-SH-M-E-MN-M05144-241209_S41,
CIMS-MN-187-IH-MN-M05688-250502_S42,CIMS-MN-187-SH-M-E-MN-M05144-241209_S42,
CIMS-MN-188-IH-MN-M05688-250502_S43,CIMS-MN-188-SH-M-E-MN-M05144-241209_S43,
CIMS-MN-189-IH-MN-M05688-250502_S44,CIMS-MN-189-SH-M-E-MN-M05144-241209_S44,
CIMS-MN-190-IH-MN-M05688-250502_S45,CIMS-MN-190-SH-M-E-MN-M05144-241209_S45,
CIMS-MN-191-IH-MN-M05688-250502_S46,CIMS-MN-191-SH-M-E-MN-M05144-241209_S46,
CIMS-MN-193-IH-MN-M05688-250502_S1,CIMS-MN-193-SH-M-E-MN-M04497-250507_S1,
