Isolate (IH):,Stool (SH):,Isolate WGS (IW):
CIMS-OH-002-IH,CIMS-OH-197-SH,CIMS-OH-002-IH
CIMS-OH-003-IH,CIMS-OH-198-SH,CIMS-OH-003-IH
CIMS-OH-004-IH,CIMS-OH-199-SH,CIMS-OH-004-IH
CIMS-OH-006-IH,CIMS-OH-200-SH,CIMS-OH-006-IH
CIMS-OH-012-IH,CIMS-OH-201-SH,CIMS-OH-012-IH
CIMS-OH-013-IH,CIMS-OH-202-SH,CIMS-OH-013-IH
CIMS-OH-014-IH,CIMS-OH-203-SH,CIMS-OH-014-IH
CIMS-OH-015-IH,CIMS-OH-204-SH,CIMS-OH-015-IH
CIMS-OH-016-IH,CIMS-OH-205-SH,CIMS-OH-016-IH
CIMS-OH-019-IH,CIMS-OH-206-SH,CIMS-OH-019-IH
CIMS-OH-054-IH,CIMS-OH-183-SH,CIMS-OH-054-IH
CIMS-OH-055-IH,CIMS-OH-184-SH,CIMS-OH-055-IH
CIMS-OH-056-IH,CIMS-OH-185-SH,CIMS-OH-056-IH
CIMS-OH-058-IH,CIMS-OH-186-SH,CIMS-OH-058-IH
CIMS-OH-061-IH,CIMS-OH-187-SH,CIMS-OH-061-IH
CIMS-OH-062-IH,CIMS-OH-188-SH,CIMS-OH-062-IH
CIMS-OH-065-IH,CIMS-OH-189-SH,CIMS-OH-065-IH
CIMS-OH-066-IH,CIMS-OH-190-SH,CIMS-OH-066-IH
CIMS-OH-073-IH,CIMS-OH-191-SH,CIMS-OH-073-IH
CIMS-OH-077-IH,CIMS-OH-192-SH,CIMS-OH-077-IH
CIMS-OH-078-IH,CIMS-OH-193-SH,CIMS-OH-078-IH
CIMS-OH-079-IH,CIMS-OH-194-SH,CIMS-OH-079-IH
CIMS-OH-083-IH,CIMS-OH-195-SH,CIMS-OH-083-IH
CIMS-OH-084-IH,CIMS-OH-196-SH,CIMS-OH-084-IH
CIMS-OH-098-IH,CIMS-OH-207-SH,CIMS-OH-098-IH
CIMS-OH-099-IH,CIMS-OH-208-SH,CIMS-OH-099-IH
CIMS-OH-101-IH,CIMS-OH-209-SH,CIMS-OH-101-IH
CIMS-OH-105-IH,CIMS-OH-210-SH,CIMS-OH-105-IH
CIMS-OH-109-IH,CIMS-OH-211-SH,CIMS-OH-109-IH
CIMS-OH-110-IH,CIMS-OH-212-SH,CIMS-OH-110-IH
CIMS-OH-111-IH,CIMS-OH-213-SH,CIMS-OH-111-IH
CIMS-OH-112-IH,CIMS-OH-214-SH,CIMS-OH-112-IH
CIMS-OH-123-IH,CIMS-OH-215-SH,CIMS-OH-123-IH
CIMS-OH-127-IH,CIMS-OH-216-SH,CIMS-OH-127-IH
CIMS-OH-134-IH,CIMS-OH-217-SH,CIMS-OH-134-IH
CIMS-OH-137-IH,CIMS-OH-218-SH,CIMS-OH-137-IH
CIMS-OH-143-IH,CIMS-OH-219-SH,CIMS-OH-143-IH
CIMS-OH-144-IH,CIMS-OH-157-SH,CIMS-OH-144-IH
CIMS-OH-145-IH,CIMS-OH-158-SH,CIMS-OH-145-IH
CIMS-OH-146-IH,CIMS-OH-159-SH,CIMS-OH-146-IH
CIMS-OH-147-IH,CIMS-OH-160-SH,CIMS-OH-147-IH
CIMS-OH-148-IH,CIMS-OH-161-SH,CIMS-OH-148-IH
CIMS-OH-149-IH,CIMS-OH-162-SH,CIMS-OH-149-IH
CIMS-OH-150-IH,CIMS-OH-163-SH,CIMS-OH-150-IH
CIMS-OH-151-IH,CIMS-OH-164-SH,CIMS-OH-151-IH
CIMS-OH-152-IH,CIMS-OH-165-SH,CIMS-OH-152-IH
CIMS-OH-153-IH,CIMS-OH-166-SH,CIMS-OH-153-IH
CIMS-OH-154-IH,CIMS-OH-167-SH,CIMS-OH-154-IH
CIMS-OH-155-IH,CIMS-OH-168-SH,CIMS-OH-155-IH
CIMS-OH-156-IH,CIMS-OH-169-SH,CIMS-OH-156-IH
CIMS-OH-222-IH,CIMS-OH-233-SH,CIMS-OH-222-IH
CIMS-OH-223-IH,CIMS-OH-234-SH,CIMS-OH-223-IH
CIMS-OH-224-IH,CIMS-OH-235-SH,CIMS-OH-224-IH
CIMS-OH-225-IH,CIMS-OH-236-SH,CIMS-OH-225-IH
CIMS-OH-226-IH,CIMS-OH-237-SH,CIMS-OH-226-IH
CIMS-OH-227-IH,CIMS-OH-238-SH,CIMS-OH-227-IH
CIMS-OH-228-IH,CIMS-OH-239-SH,CIMS-OH-228-IH
CIMS-OH-229-IH,CIMS-OH-240-SH,CIMS-OH-229-IH
CIMS-OH-230-IH,CIMS-OH-241-SH,CIMS-OH-230-IH
CIMS-OH-231-IH,CIMS-OH-242-SH,CIMS-OH-231-IH
CIMS-OH-232-IH,CIMS-OH-243-SH,CIMS-OH-232-IH
CIMS-OH-255-IH,CIMS-OH-277-SH,CIMS-OH-255-IH
CIMS-OH-256-IH,CIMS-OH-278-SH,CIMS-OH-256-IH
CIMS-OH-257-IH,CIMS-OH-279-SH,CIMS-OH-257-IH
CIMS-OH-258-IH,CIMS-OH-280-SH,CIMS-OH-258-IH
CIMS-OH-259-IH,CIMS-OH-281-SH,CIMS-OH-259-IH
CIMS-OH-260-IH,CIMS-OH-282-SH,CIMS-OH-260-IH
CIMS-OH-261-IH,CIMS-OH-283-SH,CIMS-OH-261-IH
CIMS-OH-262-IH,CIMS-OH-284-SH,CIMS-OH-262-IH
CIMS-OH-263-IH,CIMS-OH-285-SH,CIMS-OH-263-IH
CIMS-OH-264-IH,CIMS-OH-286-SH,CIMS-OH-264-IH
CIMS-OH-265-IH,CIMS-OH-287-SH,CIMS-OH-265-IH
CIMS-OH-266-IH,CIMS-OH-288-SH,CIMS-OH-266-IH
CIMS-OH-267-IH,CIMS-OH-289-SH,CIMS-OH-267-IH
CIMS-OH-268-IH,CIMS-OH-290-SH,CIMS-OH-268-IH
CIMS-OH-269-IH,CIMS-OH-291-SH,CIMS-OH-269-IH
CIMS-OH-270-IH,CIMS-OH-292-SH,CIMS-OH-270-IH
CIMS-OH-271-IH,CIMS-OH-293-SH,CIMS-OH-271-IH
CIMS-OH-272-IH,CIMS-OH-294-SH,CIMS-OH-272-IH
CIMS-OH-273-IH,CIMS-OH-295-SH,CIMS-OH-273-IH
CIMS-OH-274-IH,CIMS-OH-296-SH,CIMS-OH-274-IH
CIMS-OH-275-IH,CIMS-OH-297-SH,CIMS-OH-275-IH
CIMS-OH-276-IH,CIMS-OH-298-SH,CIMS-OH-276-IH
CIMS-OH-299-IH,CIMS-OH-321-SH,CIMS-OH-299-IH
CIMS-OH-300-IH,CIMS-OH-322-SH,CIMS-OH-300-IH
